ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,23.12,0.4,Animal 2_4HRS_036,37.08,80.43,176.06,42.43,151.07,110.3,106.11,48.19
111.0,111.0,102.53,1.79,Animal 2_4HRS_036,57.97,29.22,83.4,46.68,313.57,119.69,103.51,99.87
111.0,111.0,35.43,0.62,Animal 2_4HRS_036,0.12,32.9,220.1,0.8,81.15,98.52,127.86,37.03
111.0,111.0,19.68,0.34,Animal 2_4HRS_037,39.0,71.49,186.4,42.16,154.9,105.47,91.38,49.49
111.0,111.0,14.26,0.25,Animal 2_4HRS_037,13.68,97.78,166.96,28.87,121.38,112.89,107.48,44.81
111.0,111.0,11.76,0.21,Animal 2_4HRS_037,70.26,93.19,156.2,149.17,142.55,101.83,114.72,58.8
111.0,111.0,-15.79,-0.28,Animal 2_4HRS_037,45.73,132.36,183.31,76.07,143.48,112.85,114.33,45.96
111.0,111.0,-3.0,-0.05,Animal 2_4HRS_037,14.81,104.57,185.74,31.21,265.46,100.16,101.63,68.82
111.0,111.0,-57.91,-1.01,Animal 2_4HRS_038,16.34,162.04,124.25,32.02,128.28,114.98,94.75,44.21
111.0,111.0,76.22,1.33,Animal 2_4HRS_038,23.56,67.41,151.33,52.82,74.54,116.77,139.23,36.2
111.0,111.0,-16.46,-0.29,Animal 2_4HRS_039,0.24,117.33,171.48,2.18,160.35,92.57,87.68,76.34
111.0,111.0,-26.55,-0.46,Animal 2_4HRS_039,76.12,151.55,164.3,109.23,156.72,121.31,103.78,49.87
111.0,111.0,-26.58,-0.46,Animal 2_4HRS_040,51.38,138.97,193.59,131.58,174.68,94.99,105.69,101.34
111.0,111.0,-46.56,-0.81,Animal 2_4HRS_040,78.01,169.75,174.11,128.19,213.12,99.66,107.73,62.53
111.0,111.0,-18.93,-0.33,Animal 2_4HRS_043,41.12,110.86,160.7,93.05,61.17,92.19,106.25,31.98
111.0,111.0,-22.02,-0.38,Animal 2_4HRS_043,59.17,100.47,183.7,141.38,115.66,68.8,105.39,48.96
111.0,111.0,-22.67,-0.4,Animal 2_4HRS_043,52.65,143.3,171.45,77.48,138.92,114.49,102.46,45.71
111.0,111.0,14.91,0.26,Animal 2_4HRS_047,42.84,74.57,197.47,61.68,239.21,94.82,121.43,63.5
111.0,111.0,39.88,0.7,Animal 2_4HRS_047,60.59,51.46,189.31,77.48,2.6,112.21,116.61,9.53
111.0,111.0,-2.57,-0.04,Animal 2_4HRS_052,50.1,113.68,160.91,69.03,110.88,111.08,102.95,40.07
111.0,111.0,-5.17,-0.09,Animal 2_4HRS_052,1.34,112.0,198.98,8.3,110.74,105.03,121.94,41.79
111.0,111.0,-113.5,-1.98,Animal 2_4HRS_052,75.62,165.03,69.26,151.48,237.09,89.68,102.03,75.61
111.0,111.0,121.96,2.13,Animal 2_4HRS_052,51.55,45.59,60.53,80.4,184.71,105.02,97.6,62.26
111.0,111.0,-0.45,-0.01,Animal 2_4HRS_052,32.96,93.65,170.02,47.44,129.83,93.13,102.77,43.39
111.0,111.0,-21.84,-0.38,Animal 2_4HRS_060,57.33,142.85,167.06,78.85,81.73,113.22,93.13,39.59
111.0,111.0,18.1,0.32,Animal 2_4HRS_060,49.12,98.32,192.89,63.33,158.97,121.66,121.49,50.66
111.0,111.0,-28.84,-0.5,Animal 2_4HRS_060,62.41,153.65,188.87,75.44,147.18,112.17,113.57,46.81
111.0,111.0,42.66,0.74,Animal 2_4HRS_061,38.4,67.11,165.44,67.13,136.03,123.56,104.17,46.69
111.0,111.0,-76.25,-1.33,Animal 2_4HRS_061,43.01,192.7,108.22,59.07,128.34,132.18,93.41,72.9
111.0,111.0,48.6,0.85,Animal 2_4HRS_061,65.45,32.73,165.52,93.0,150.64,93.95,111.54,52.41
111.0,111.0,25.33,0.44,Animal 2_4HRS_062,54.7,83.4,167.53,91.3,160.54,115.21,100.33,55.58
111.0,111.0,58.06,1.01,Animal 2_4HRS_062,0.55,49.26,145.47,3.97,156.95,111.06,106.94,71.37
111.0,111.0,-7.83,-0.14,Animal 2_4HRS_062,57.06,121.08,156.84,60.85,147.43,110.09,76.86,48.16
111.0,111.0,6.11,0.11,Animal 2_4HRS_066,28.12,116.55,150.52,64.46,74.72,123.54,85.15,37.4
111.0,111.0,-15.24,-0.27,Animal 2_4HRS_066,55.57,143.89,174.66,131.32,281.49,121.54,92.63,85.97
111.0,111.0,-19.25,-0.34,Animal 2_4HRS_068,68.34,137.56,177.69,140.76,168.0,108.01,93.07,52.68
111.0,111.0,-27.41,-0.48,Animal 2_4HRS_068,2.57,157.78,186.49,8.82,236.25,117.05,107.94,72.68
111.0,111.0,-2.14,-0.04,Animal 2_4HRS_071,32.47,115.47,158.76,54.71,154.91,113.08,94.74,49.36
111.0,111.0,46.4,0.81,Animal 2_4HRS_071,26.99,41.77,164.96,43.87,119.65,109.36,100.61,42.54
111.0,111.0,-44.94,-0.78,Animal 2_4HRS_071,48.02,169.51,169.54,72.55,126.67,96.57,96.45,43.75
111.0,111.0,9.27,0.16,Animal 2_4HRS_071,65.12,100.77,163.86,57.4,5.68,115.45,73.92,21.96
111.0,111.0,5.58,0.1,Animal 2_4HRS_074,46.67,104.81,190.72,69.86,238.32,112.88,108.09,72.46
111.0,111.0,5.8,0.1,Animal 2_4HRS_074,7.88,92.69,165.58,23.6,156.58,98.83,105.24,51.23
111.0,111.0,51.98,0.91,Animal 2_4HRS_074,0.2,10.35,183.53,1.43,191.6,124.75,94.07,70.15
111.0,111.0,44.98,0.79,Animal 2_4HRS_075,53.07,74.69,176.68,97.17,73.98,118.24,133.11,48.74
111.0,111.0,22.74,0.4,Animal 2_4HRS_075,67.51,63.93,187.08,84.56,221.1,94.33,114.52,62.93
111.0,111.0,19.35,0.34,Animal 2_4HRS_075,35.17,78.33,194.43,33.38,195.99,104.35,120.32,58.98
111.0,111.0,164.02,2.86,Animal 2_4HRS_079,17.66,116.91,70.85,22.42,126.81,131.6,122.16,45.44
111.0,111.0,26.56,0.46,Animal 2_4HRS_079,42.01,82.61,159.82,72.04,130.81,111.66,101.7,45.7
111.0,111.0,64.22,1.12,Animal 2_4HRS_082,92.45,50.16,136.31,185.39,178.98,126.45,99.46,60.63
111.0,111.0,34.2,0.6,Animal 2_4HRS_082,81.66,76.08,154.96,150.57,198.07,113.36,100.1,69.54
111.0,111.0,6.18,0.11,Animal 2_4HRS_084,54.41,109.55,198.97,96.05,268.66,118.76,113.84,104.95
111.0,111.0,-25.17,-0.44,Animal 2_4HRS_084,49.92,158.23,194.8,87.46,225.84,123.42,120.73,69.1
111.0,111.0,34.44,0.6,Animal 2_4HRS_084,88.05,87.24,137.06,124.26,128.58,114.41,97.45,44.24
111.0,111.0,-45.33,-0.79,Animal 2_6HRS_002,42.01,171.55,150.72,65.12,174.25,115.35,95.17,77.55
111.0,111.0,-49.24,-0.86,Animal 2_6HRS_002,43.51,182.23,182.16,101.89,143.6,95.75,107.63,53.5
111.0,111.0,32.62,0.57,Animal 2_6HRS_002,0.27,62.09,199.96,0.26,175.22,119.89,109.64,64.72
111.0,111.0,20.4,0.36,Animal 2_6HRS_002,0.34,61.38,213.76,1.93,121.54,101.9,104.78,49.05
111.0,111.0,5.76,0.1,Animal 2_6HRS_002,30.58,82.08,197.0,63.4,220.1,91.5,103.54,65.79
111.0,111.0,120.28,2.1,Animal 2_6HRS_003,126.85,79.26,135.48,272.85,298.9,88.93,141.13,74.9
111.0,111.0,-31.76,-0.55,Animal 2_6HRS_003,47.03,159.64,176.24,52.08,155.71,121.23,114.2,50.8
111.0,111.0,51.18,0.89,Animal 2_6HRS_004,0.26,75.09,139.91,1.87,111.5,122.65,101.64,42.82
111.0,111.0,-78.9,-1.38,Animal 2_6HRS_004,29.85,143.22,112.22,40.1,111.09,85.17,100.83,45.03
111.0,111.0,25.55,0.45,Animal 2_6HRS_005,0.36,68.61,198.03,2.71,112.36,113.0,105.18,44.4
111.0,111.0,120.58,2.1,Animal 2_6HRS_005,42.85,37.5,78.93,60.21,149.37,99.6,115.62,59.19
111.0,111.0,-0.48,-0.01,Animal 2_6HRS_005,58.4,77.81,188.92,109.92,104.29,77.16,111.02,46.34
111.0,111.0,7.08,0.12,Animal 2_6HRS_005,39.3,96.71,184.16,36.94,195.03,104.53,121.18,70.13
111.0,111.0,11.33,0.2,Animal 2_6HRS_007,66.57,117.6,195.26,160.95,84.31,136.8,99.46,50.69
111.0,111.0,42.99,0.75,Animal 2_6HRS_009,37.9,30.73,180.23,43.63,177.21,88.2,118.57,99.9
111.0,111.0,-46.25,-0.81,Animal 2_6HRS_009,60.02,166.66,171.95,157.93,216.08,98.78,106.98,73.94
111.0,111.0,-35.04,-0.61,Animal 2_6HRS_010,40.53,142.04,170.93,49.16,71.92,117.06,135.31,37.18
111.0,111.0,39.58,0.69,Animal 2_6HRS_010,55.5,50.69,173.55,71.4,160.85,107.87,104.38,59.26
111.0,111.0,35.29,0.62,Animal 2_6HRS_010,41.3,55.75,192.56,60.71,228.8,106.45,120.92,106.4
111.0,111.0,24.18,0.42,Animal 2_6HRS_011,38.08,90.34,159.31,54.76,103.79,116.63,100.74,53.1
111.0,111.0,-13.86,-0.24,Animal 2_6HRS_011,43.47,120.87,158.86,62.3,126.3,108.02,106.79,49.49
111.0,111.0,56.57,0.99,Animal 2_6HRS_011,24.31,41.65,131.99,36.66,135.06,96.85,95.55,45.49
111.0,111.0,18.68,0.33,Animal 2_6HRS_011,25.03,96.63,163.34,36.09,89.68,114.06,111.78,38.33
111.0,111.0,-62.84,-1.1,Animal 2_6HRS_016,59.94,192.76,156.5,66.87,208.48,121.07,119.72,89.32
111.0,111.0,-148.94,-2.6,Animal 2_6HRS_016,50.52,139.54,37.63,93.33,183.71,100.68,102.13,83.39
111.0,111.0,58.65,1.02,Animal 2_6HRS_022,44.59,54.35,131.54,64.77,136.82,126.69,87.46,47.11
111.0,111.0,16.02,0.28,Animal 2_6HRS_022,10.5,87.73,183.25,40.66,176.29,108.42,111.18,67.62
111.0,111.0,-99.22,-1.73,Animal 2_6HRS_022,39.21,167.86,89.69,53.78,160.92,93.94,101.7,59.84
111.0,111.0,94.93,1.66,Animal 2_6HRS_023,130.23,50.77,101.41,245.08,183.68,99.46,105.61,75.15
111.0,111.0,44.6,0.78,Animal 2_6HRS_023,87.17,38.72,158.19,120.89,235.58,104.29,91.69,90.22
111.0,111.0,-173.3,-3.02,Animal 2_6HRS_023,52.28,79.63,70.9,38.51,92.85,72.99,127.41,58.97
111.0,111.0,17.45,0.3,Animal 2_6HRS_024,26.06,74.55,196.76,51.22,128.4,102.92,106.53,48.93
111.0,111.0,4.17,0.07,Animal 2_6HRS_024,0.23,88.15,193.9,1.58,188.36,96.59,78.2,57.0
111.0,111.0,58.2,1.02,Animal 2_6HRS_024,53.76,49.78,158.71,79.69,216.75,118.08,116.36,66.69
104.0,111.0,16.61,0.29,Animal 2_6HRS_024,88.2,58.33,182.0,129.81,320.64,79.47,111.11,125.81
111.0,111.0,12.68,0.22,Animal 2_6HRS_025,29.63,105.5,160.13,52.71,119.46,121.2,90.32,43.7
111.0,111.0,28.55,0.5,Animal 2_6HRS_025,23.93,56.96,160.49,43.09,179.38,100.43,80.59,56.38
111.0,111.0,23.6,0.41,Animal 2_6HRS_026,45.3,80.4,179.92,73.94,139.84,105.17,123.22,48.9
111.0,111.0,28.22,0.49,Animal 2_6HRS_026,60.73,81.97,160.9,91.82,133.54,112.17,104.62,53.24
111.0,111.0,63.99,1.12,Animal 2_6HRS_026,70.49,26.7,137.22,70.22,273.14,115.31,93.99,76.29
111.0,111.0,32.12,0.56,Animal 2_6HRS_026,67.53,71.88,179.04,105.67,215.6,120.6,101.42,84.36
111.0,111.0,25.46,0.44,Animal 2_6HRS_027,29.67,99.96,162.59,63.24,133.6,118.33,123.98,48.89
111.0,111.0,100.52,1.75,Animal 2_6HRS_027,82.39,48.8,124.43,102.62,103.73,117.66,137.22,42.25
111.0,111.0,-9.14,-0.16,Animal 2_6HRS_027,0.16,128.86,206.79,1.32,116.17,108.96,83.2,43.2
111.0,111.0,-38.99,-0.68,Animal 2_6HRS_028,41.26,157.8,175.35,53.69,137.57,105.43,110.65,48.11
111.0,111.0,-52.5,-0.92,Animal 2_6HRS_030,21.53,200.98,179.77,53.41,146.14,129.45,124.88,50.27
111.0,111.0,-26.92,-0.47,Animal 2_6HRS_030,31.45,143.64,180.12,83.62,112.84,100.28,94.72,43.99
111.0,111.0,4.18,0.07,Animal 2_6HRS_030,99.56,103.85,181.96,104.83,201.6,108.94,112.3,67.33
111.0,111.0,-8.68,-0.15,Animal 2_6HRS_031,28.41,125.78,183.19,51.07,114.33,115.11,113.21,42.63
111.0,111.0,45.86,0.8,Animal 2_6HRS_031,73.41,55.45,147.13,121.16,154.17,120.77,83.76,49.12
111.0,111.0,41.64,0.73,Animal 2_6HRS_031,46.5,40.94,166.55,47.66,255.31,108.86,90.16,77.93
111.0,111.0,-56.29,-0.98,Animal 2_6HRS_031,76.69,152.22,146.01,100.05,194.78,97.01,109.18,58.63
111.0,111.0,61.07,1.07,Animal 2_6HRS_032,58.23,34.31,148.26,145.62,240.6,116.42,102.87,73.7
111.0,111.0,-29.62,-0.52,Animal 2_6HRS_032,37.23,160.6,183.57,51.38,196.66,119.69,111.64,68.35
111.0,111.0,-26.8,-0.47,Animal 2_6HRS_033,0.13,176.09,217.64,1.02,181.57,119.52,105.63,59.09
111.0,111.0,12.08,0.21,Animal 2_6HRS_033,21.78,93.75,163.08,58.38,114.33,107.18,100.35,43.24
111.0,111.0,96.31,1.68,Animal 2_6HRS_034,34.19,58.53,92.8,44.69,120.78,110.72,98.57,43.38
