ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-9.03,-0.16,Animal 1_2hrs_028,17.5,127.69,196.81,51.36,0.63,117.44,132.35,2.96
111.0,111.0,42.21,0.74,Animal 1_2hrs_028,2.74,6.14,213.56,6.97,141.92,111.01,97.95,67.71
111.0,111.0,4.45,0.08,Animal 1_2hrs_028,20.84,91.5,202.55,35.0,92.89,99.53,99.52,39.41
111.0,111.0,84.16,1.47,Animal 1_2hrs_028,58.54,52.29,105.17,77.69,105.26,106.68,99.61,43.44
111.0,111.0,48.2,0.84,Animal 1_2hrs_029,64.4,56.5,152.74,77.58,96.74,107.96,106.73,48.16
111.0,111.0,-36.53,-0.64,Animal 1_2hrs_029,23.02,137.94,155.3,42.89,92.8,103.13,108.32,40.0
111.0,111.0,32.73,0.57,Animal 1_2hrs_029,38.83,58.6,151.27,71.66,40.93,93.39,97.14,35.23
111.0,111.0,93.42,1.63,Animal 1_2hrs_030,85.66,74.92,105.91,106.32,16.11,142.23,109.93,21.76
111.0,111.0,45.74,0.8,Animal 1_2hrs_030,75.31,32.82,168.89,64.55,184.12,98.32,105.07,57.03
111.0,111.0,-68.32,-1.19,Animal 1_2hrs_031,50.0,179.89,136.95,45.51,152.81,119.34,112.88,71.04
111.0,111.0,37.25,0.65,Animal 1_2hrs_032,37.62,71.58,141.25,51.52,102.04,106.07,95.89,40.42
111.0,111.0,-26.52,-0.46,Animal 1_2hrs_032,26.52,135.94,154.44,46.79,108.92,113.07,108.61,44.05
111.0,111.0,-95.48,-1.67,Animal 1_2hrs_032,0.3,143.42,94.04,2.45,249.89,112.39,97.01,78.61
111.0,111.0,103.81,1.81,Animal 1_2hrs_032,70.47,51.85,88.15,84.49,97.34,108.53,102.09,48.56
111.0,111.0,-10.11,-0.18,Animal 1_2hrs_032,28.71,109.69,195.5,43.75,92.82,95.05,113.4,50.6
111.0,111.0,25.78,0.45,Animal 1_2hrs_033,23.97,68.32,200.01,23.62,156.25,110.24,113.21,50.69
111.0,111.0,49.01,0.86,Animal 1_2hrs_033,63.58,49.56,152.15,74.73,163.31,97.42,110.57,56.63
111.0,111.0,-4.44,-0.08,Animal 1_2hrs_033,37.08,142.66,188.03,30.47,165.91,137.02,115.36,60.7
111.0,111.0,-44.42,-0.78,Animal 1_2hrs_033,24.81,178.02,140.35,30.94,113.46,144.59,106.24,43.49
111.0,111.0,35.59,0.62,Animal 1_2hrs_034,80.98,76.3,138.98,73.31,148.12,95.96,111.5,57.51
111.0,111.0,-56.97,-0.99,Animal 1_2hrs_034,17.5,139.73,147.56,24.18,55.14,88.28,114.11,33.33
111.0,111.0,-17.07,-0.3,Animal 1_2hrs_034,33.53,116.58,172.92,65.0,91.28,102.4,126.73,36.9
111.0,111.0,-8.36,-0.15,Animal 1_2hrs_035,37.86,114.07,152.71,59.74,69.06,106.54,101.42,36.94
111.0,111.0,48.12,0.84,Animal 1_2hrs_035,0.24,0.81,204.24,1.69,137.57,111.57,104.93,48.48
111.0,111.0,130.62,2.28,Animal 1_2hrs_035,136.22,70.85,80.56,117.98,96.74,98.53,104.3,37.86
111.0,111.0,-14.2,-0.25,Animal 1_2hrs_035,22.5,109.28,167.53,29.81,95.67,93.39,104.74,40.25
104.0,111.0,-52.39,-0.91,Animal 1_2hrs_035,0.28,173.58,120.17,1.69,188.27,112.94,73.44,63.38
111.0,111.0,-13.63,-0.24,Animal 1_2hrs_036,37.37,111.78,187.45,46.24,98.57,94.14,114.71,44.21
111.0,111.0,-42.4,-0.74,Animal 1_2hrs_036,18.73,127.52,132.28,33.34,56.01,103.37,105.84,33.23
111.0,111.0,14.78,0.26,Animal 1_2hrs_037,34.81,91.51,160.89,46.0,95.06,110.63,88.39,37.26
111.0,111.0,-11.94,-0.21,Animal 1_2hrs_037,24.95,126.65,183.28,31.44,149.35,108.61,97.95,55.09
